X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X216.0023.t.2	X216.167D.t.2	X216.2D17.t.2	X216.4D34.t.2	X216.5D52.t.2	X216.671C.t.2	X216.6807.t.2	X216.737F.t.2	X216.7C29.t.2	X216.7D1C.t.2
0	2	36	9	17	3	1	0	6	11	20	9	10	8	11	2	2	8	4	6	0	0	0	0	0	0	0	0	0	1
0	11	0	2	14	0	0	1	34	48	48	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0
0	0	2	9	0	0	0	0	2	44	1	1	0	0	1	0	0	0	0	2	0	6	0	0	0	16	3	23	34	0
3	4	17	5	30	27	9	4	21	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	3	33	8	0	2	0	1	19	28	0	1	6	14	0	0	13	0	4	0	0	0	0	0	0	0	0	0	0
3	1	12	1	15	4	4	1	10	4	1	1	2	3	3	6	2	9	2	20	0	0	2	3	3	0	1	4	16	0
5	5	5	3	7	1	5	5	4	6	5	2	8	8	4	6	2	6	6	4	2	3	4	1	5	4	3	6	2	6
0	0	0	0	2	0	0	0	24	0	0	0	0	1	0	0	10	0	0	0	5	0	0	0	3	0	0	0	0	86
5	3	21	0	5	9	6	18	6	3	0	0	0	0	0	0	0	0	0	0	0	21	3	0	0	11	8	11	0	0
1	2	4	5	28	2	6	1	13	1	4	2	36	0	5	0	6	1	0	3	0	0	0	2	2	0	1	1	1	0
11	3	4	1	0	2	1	2	1	5	3	9	1	2	6	5	1	4	13	3	0	18	2	1	1	3	8	1	3	12
3	1	6	1	1	0	0	3	0	10	11	0	4	5	0	0	1	1	0	23	0	3	0	0	0	5	9	2	14	15
5	3	4	6	5	9	1	2	6	4	9	5	1	3	3	2	6	7	4	5	1	0	2	4	2	2	6	1	3	5
4	8	3	2	4	5	2	4	7	4	4	4	2	7	6	5	3	2	2	2	4	2	1	4	4	3	5	1	6	2
1	1	24	0	4	1	3	4	5	3	18	15	5	5	2	5	4	6	0	1	0	0	0	0	0	0	0	0	0	0
3	1	3	2	4	1	5	0	3	7	7	3	0	3	2	3	2	5	2	0	4	13	1	3	9	0	4	3	0	9
6	0	6	5	0	0	6	0	0	18	6	0	14	1	25	4	0	4	0	0	0	0	0	0	0	0	0	0	0	4
2	1	1	11	7	3	0	1	0	1	10	14	7	4	7	0	7	12	6	1	0	0	0	2	0	1	0	0	0	0
4	3	7	1	6	1	2	1	3	47	5	0	4	1	2	2	2	3	0	1	0	0	0	0	2	0	0	0	0	0
1	1	1	1	5	7	5	1	4	3	0	4	7	5	9	12	8	0	11	11	0	0	0	0	0	0	0	0	0	0
5	1	7	2	0	41	2	6	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	30	10	7	0	22
3	4	4	2	2	3	3	3	3	2	6	0	6	5	4	5	2	1	2	1	2	5	1	1	4	1	2	2	0	4
3	1	2	3	1	10	0	5	1	4	15	0	1	0	7	8	0	1	1	19	0	0	0	0	0	0	0	0	0	0
