X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X214.0446.final	X214.3644.final	X214.532E.final	X214.5D46.final	X214.665B.final	X214.6951.final	X214.7250.final	X214.7715.final	X214.7A4F.final	X214.7B6C.final
seq77	30	11	24	15	36	25	15	8	14	35	21	13	20	18	23	32	8	8	39	35	38	31	10	45	24	18	13	6	15	11
seq142	20	10	17	4	1	6	5	8	5	4	24	5	0	11	3	0	4	3	14	46	28	47	56	7	14	2	43	29	2	77
seq173	0	0	0	0	0	0	0	0	0	0	2	2	2	0	5	2	5	0	0	2	22	73	42	28	19	6	36	10	7	57
seq46	35	42	14	41	35	17	33	23	28	54	28	43	30	19	23	118	10	39	34	56	2	21	35	9	64	66	110	50	63	78
seq110	2	11	3	3	5	4	7	7	59	22	15	6	18	1	18	9	1	5	21	14	76	62	27	7	10	6	38	14	14	46
seq17	28	43	54	18	60	60	32	29	40	208	905	35	106	11	83	51	16	165	145	532	13	89	426	39	4	48	1	16	53	298
seq165	3	1	6	1	0	0	0	4	0	10	13	0	4	5	0	0	1	1	0	23	3	17	3	3	5	0	7	6	0	20
seq216	0	1	3	2	1	2	0	0	0	1	4	4	2	0	2	1	0	0	1	3	4	4	4	7	3	6	3	4	2	1
seq147	5	9	4	55	50	54	29	10	10	29	82	1	49	19	87	6	8	104	3	6	0	3	1	6	109	11	1	1	3	1
seq112	15	5	27	44	23	5	9	11	27	33	28	8	31	18	21	12	2	21	10	44	12	19	46	10	8	1	13	4	34	24
seq45	82	44	48	51	127	33	25	30	92	96	244	149	32	30	231	118	33	223	566	458	75	111	90	58	92	30	105	53	20	108
seq48	17	18	114	214	169	40	22	39	53	123	398	12	131	50	176	21	10	234	11	133	12	44	25	55	48	12	9	8	21	24
seq24	582	174	209	117	166	737	459	888	299	352	642	288	52	89	62	150	72	134	228	1005	2	483	32	12	135	26	66	178	35	353
seq176	9	0	1	1	2	2	3	0	5	1	2	0	0	2	2	9	2	3	0	0	0	7	2	13	8	2	3	0	6	1
seq3	2153	5644	5164	3	9525	11070	6094	1520	3533	7082	2824	2781	3	3919	1431	938	970	1313	3641	11083	323	5	1158	1	8459	11135	1857	10298	5206	5
seq39	161	73	100	156	703	153	74	84	285	234	302	85	151	94	230	115	52	203	131	546	54	220	115	124	176	175	55	96	81	76
seq200	2	3	2	3	4	3	1	2	1	16	10	1	3	8	2	0	2	12	2	4	1	1	4	4	3	1	1	4	2	1
seq64	19	24	14	13	26	3	14	2	32	51	0	42	17	19	39	61	6	77	30	88	32	1	0	19	22	23	6	8	128	7
seq94	28	22	34	13	54	7	1	5	34	7	141	39	13	7	5	36	24	19	39	28	0	172	192	85	4	13	147	21	0	58
seq69	14	5	19	10	5	6	8	1	8	6	16	27	2	1	20	14	6	9	4	3	129	15	72	2	79	4	128	24	21	32
seq52	42	164	36	175	79	183	62	237	281	263	287	21	53	113	11	54	15	195	13	84	46	76	31	50	190	14	17	39	36	62
seq179	3	2	5	1	5	1	2	1	2	46	6	0	5	0	2	2	2	3	0	1	0	1	1	3	13	3	1	0	1	7
seq85	73	63	69	51	31	87	73	36	68	109	0	0	0	0	0	0	0	0	0	0	35	5	8	0	0	121	0	60	1	0
seq100	16	6	46	37	68	86	29	11	31	33	58	9	40	18	9	3	3	78	5	187	37	13	36	36	110	14	12	14	29	4
seq105	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	2	0	0
seq150	9	3	0	14	16	0	0	1	20	23	2	23	5	4	2	3	5	5	19	15	16	36	2	3	2	1	16	2	40	4
seq54	29	0	50	0	0	7	7	3	0	0	0	54	20	1	23	45	19	0	70	22	75	108	90	67	42	26	137	33	59	36
seq168	3	1	5	1	6	1	1	0	3	5	7	2	0	2	2	4	1	2	1	2	8	5	7	1	15	2	6	1	3	0
seq139	6	5	1	0	5	3	2	0	7	11	8	19	2	2	4	8	6	2	16	14	12	13	12	6	5	4	64	4	13	14
seq60	61	75	45	2	60	29	45	51	0	62	0	0	0	0	0	0	0	0	0	0	116	247	310	60	297	201	614	111	251	351
seq144	5	4	12	11	11	8	10	2	11	17	18	13	8	7	30	15	2	14	19	28	19	13	29	6	8	16	6	12	12	18
seq156	35	5	37	21	31	73	17	18	19	11	52	9	16	7	26	0	20	7	23	30	1	58	2	21	15	36	2	23	5	18
seq182	6	0	4	4	0	0	3	0	0	19	7	0	10	3	26	3	0	3	0	0	3	1	6	0	0	2	0	1	0	1
seq28	0	240	734	676	115	461	38	406	438	743	28	47	232	350	56	0	174	112	106	515	73	1500	68	34	293	56	20	19	21	98
seq160	34	7	0	24	14	0	19	26	0	34	16	0	4	6	0	56	2	38	13	7	4	3	16	2	10	23	1	1	9	0
seq23	0	1	69	4	0	1	328	0	76	215	243	0	0	510	0	22	0	322	0	0	0	3	0	0	410	329	82	268	340	0
seq93	0	4	0	0	6	0	0	3	1	12	18	5	0	7	0	0	2	1	9	1	2	84	8	2	11	19	0	0	9	0
seq101	0	2	0	0	3	0	0	5	0	17	15	3	0	3	0	0	5	0	3	0	1	81	12	0	6	19	0	0	6	0
seq90	31	11	24	18	52	135	35	51	35	123	19	90	58	41	120	24	17	57	93	43	15	41	23	16	67	18	11	20	15	20
seq2	12	14	8	9	12	5	12	20	11	12	16	15	24	16	18	19	11	13	9	13	18	12	11	11	19	12	17	8	15	19
seq4	658	528	105	469	337	712	182	462	297	1248	1416	763	568	233	173	352	109	742	1	2048	1260	1041	3626	733	1154	1555	1901	948	485	1071
seq145	5	4	17	1	77	26	8	4	39	24	62	6	11	8	33	7	4	24	12	93	3	29	8	26	58	36	4	11	13	9
seq26	4	8	78	15	442	7	1	27	459	5	20	52	25	14	78	84	63	9	35	14	56	108	14	325	119	5	18	14	13	4
seq171	4	8	8	3	5	4	3	4	7	5	3	4	3	7	5	4	4	3	3	3	3	3	6	5	3	2	5	4	7	1
seq117	1	14	172	22	89	7	39	1	34	20	85	41	55	28	80	1	5	21	6	50	6	1	7	1	24	20	2	4	7	1
seq184	0	2	39	7	20	3	1	0	3	10	23	6	9	14	12	2	1	8	4	5	2	0	3	0	3	4	0	0	5	0
seq10	1492	409	1138	1943	2444	1808	839	925	1189	322	2476	321	1621	1025	1651	1244	804	2635	539	1987	93	393	283	2231	1313	2209	39	1817	73	417
seq68	52	27	90	158	338	86	32	30	291	65	108	80	37	68	95	28	37	134	38	343	42	72	83	202	173	119	11	78	39	45
seq148	5	9	22	30	66	9	7	14	8	13	20	8	22	13	15	4	7	14	2	10	14	16	6	24	53	16	3	8	18	8
seq188	3	4	5	2	2	1	2	3	4	2	5	1	3	3	3	5	2	2	2	3	2	5	7	3	7	5	6	4	3	2
seq143	14	6	49	42	42	91	0	5	54	17	9	8	9	11	12	1	8	12	22	32	38	48	41	37	28	12	12	9	14	7
seq120	21	26	88	109	201	33	61	34	157	46	64	13	20	13	19	116	10	31	3	54	2	12	15	26	31	23	5	17	11	9
seq157	25	0	0	0	0	0	0	0	0	34	0	39	0	0	0	0	0	65	6	1	0	0	0	125	0	0	0	0	0	0
seq181	0	0	5	9	0	0	0	0	4	45	1	1	0	0	1	0	0	0	0	1	0	1	0	0	3	15	0	0	0	0
seq191	0	12	0	2	18	0	0	2	35	48	47	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
seq135	9	1	35	33	17	7	0	0	21	19	10	4	20	2	49	28	26	27	10	21	5	18	16	85	35	3	2	4	13	13
seq149	0	12	2	11	65	15	15	9	54	0	57	9	2	10	3	0	0	0	0	5	0	19	13	0	57	14	0	12	7	0
seq79	43	26	50	186	717	26	40	24	263	157	39	15	32	8	43	7	27	60	71	416	31	97	28	11	34	38	10	42	45	26
seq190	3	2	2	6	30	1	7	0	13	12	7	1	6	1	11	0	0	7	7	36	1	4	1	0	2	2	1	1	2	0
seq44	115	6	230	151	473	122	39	19	344	117	56	25	41	21	67	15	22	72	32	338	125	663	108	50	90	190	35	113	170	178
seq12	507	62	993	782	2445	458	184	73	1686	561	268	63	157	78	267	66	107	315	117	1301	630	2880	415	311	326	811	126	422	817	773
seq43	120	2	223	87	109	108	37	17	68	140	55	23	48	12	68	13	24	81	30	361	132	678	101	70	81	219	29	106	217	200
seq175	4	4	3	7	5	9	1	5	5	5	7	6	4	4	5	3	6	7	4	5	7	11	4	2	6	3	5	5	4	5
seq172	1	1	7	5	34	1	5	1	15	1	3	2	29	0	5	0	6	4	1	4	3	32	2	36	18	3	1	4	0	2
seq192	4	3	5	9	25	8	2	0	6	17	14	5	10	5	1	1	8	6	1	37	3	19	1	2	1	1	1	0	0	0
seq99	2	4	4	7	3	3	4	4	13	10	6	4	6	4	10	4	5	11	12	5	7	9	6	4	7	7	3	7	11	8
seq274	3	1	3	3	1	11	1	5	0	4	19	0	2	0	7	5	1	1	0	20	0	0	0	0	0	0	0	0	0	0
seq235	5	2	3	9	11	1	1	1	2	5	4	0	2	1	5	0	2	3	3	5	0	1	1	1	4	1	0	0	0	0
seq1	43873	43212	39631	45172	23923	29149	42279	47583	24366	31073	20330	42907	43171	45118	27486	43481	48673	32980	27311	16142	43078	27538	30925	44290	29572	29521	39116	35138	43512	41332
seq202	1	1	5	2	0	3	1	1	1	1	3	2	4	2	4	2	4	2	1	1	2	4	2	2	3	3	5	2	3	4
seq189	0	2	4	4	2	3	2	2	2	3	2	5	2	7	1	0	4	1	1	2	4	2	3	1	0	2	2	2	2	2
seq197	3	0	3	1	2	8	0	3	2	2	2	2	3	1	1	0	1	0	3	0	4	1	2	4	2	3	3	1	4	3
seq169	4	3	4	4	8	1	3	8	3	6	4	3	4	5	3	8	1	6	5	3	9	7	3	3	7	4	6	6	4	7
seq115	7	6	32	28	63	43	11	11	28	8	62	11	5	17	27	20	11	44	41	40	29	102	68	29	60	19	40	12	30	27
seq207	0	1	0	0	2	0	0	0	0	1	0	0	2	1	4	0	0	3	0	0	0	0	0	0	9	0	0	0	12	0
seq50	24	41	100	39	251	117	31	129	231	256	128	58	70	52	33	35	29	124	33	216	27	217	112	36	360	83	69	67	159	122
seq162	11	5	35	14	21	4	2	10	2	18	0	14	5	22	11	14	8	5	9	8	2	25	10	12	19	10	4	8	12	13
seq65	27	40	30	14	13	7	3	13	25	15	50	14	10	15	7	13	9	18	61	95	144	21	85	11	29	0	57	8	33	46
seq198	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	2	3	0	0	12	0	0	0	1
seq75	0	0	0	9	0	0	0	0	33	110	0	3	6	0	0	0	0	0	0	55	50	0	0	1	0	17	0	1	15	0
seq183	1	0	1	1	7	8	2	1	5	2	0	2	2	3	9	10	4	0	9	7	0	12	0	4	10	4	5	0	5	0
seq164	0	0	0	12	0	0	0	0	14	31	0	1	2	0	0	0	0	0	0	23	22	0	0	3	0	4	0	0	3	0
seq111	8	5	16	7	51	44	8	2	42	14	11	13	10	8	42	34	20	15	53	29	16	53	42	20	32	9	33	13	14	18
seq208	4	4	13	8	26	27	8	6	25	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq18	61	92	56	34	104	123	28	25	671	49	184	271	38	73	390	148	122	8	751	356	344	296	218	19	161	131	213	90	60	135
seq5	278	372	331	185	431	535	152	96	3041	204	892	1130	241	300	1846	719	439	22	3497	1713	1707	1415	981	71	785	474	967	423	264	597
seq31	0	723	0	188	927	0	0	362	0	505	0	0	0	0	0	0	0	1035	0	0	0	1	0	0	0	0	0	0	0	0
seq40	137	0	49	0	0	30	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq41	113	0	49	0	0	24	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
