X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
seq172	10	5	9	14	52	10	8	2	18	19	18	6	44	6	8	3	11	10	2	44	0	0	0	4	1	3	0	0	1	2
seq99	1	6	2	7	2	4	3	4	12	6	9	3	5	3	10	4	5	9	12	7	4	8	3	5	21	9	8	4	3	4
seq82	7	1	3	3	1	11	1	5	1	4	16	0	1	0	7	5	2	1	1	19	114	278	348	138	160	222	208	46	13	169
seq235	5	1	1	8	12	1	2	0	3	6	2	1	2	1	8	1	1	3	3	4	0	0	0	1	1	0	0	0	0	0
seq1	43867	43200	39532	45161	24102	29226	42437	47691	24381	31082	20297	42896	43163	45092	27380	43375	48757	32881	27204	16184	34996	44862	31785	51090	28040	37492	18878	23565	19358	49849
seq227	4	6	3	3	3	3	0	1	2	6	6	4	8	1	4	6	0	3	5	2	4	5	1	3	7	5	4	2	3	0
seq213	2	7	5	1	4	8	2	2	6	4	6	5	6	1	8	4	2	5	0	3	2	0	3	2	5	7	6	7	3	9
seq202	3	4	4	1	1	3	4	1	4	2	6	5	8	7	2	2	3	3	3	1	4	3	2	4	6	5	2	2	0	1
seq169	11	13	16	18	11	14	13	16	9	15	10	13	15	24	8	17	15	19	11	8	8	18	8	11	14	13	9	5	12	15
seq115	8	7	28	31	69	38	12	9	29	9	53	13	9	23	33	24	15	43	43	35	1	14	0	4	49	22	24	11	6	11
seq50	47	46	132	51	287	125	42	134	236	275	128	68	70	75	44	47	36	127	40	228	5	69	13	11	29	172	28	10	3	11
seq65	23	44	35	14	15	9	6	14	27	13	55	13	18	14	6	15	7	16	56	89	0	67	1	38	51	151	0	0	0	33
seq75	0	0	0	23	1	0	0	0	45	137	0	6	13	1	1	0	3	5	21	85	1	0	44	3	683	15	224	4	0	14
seq5	748	2037	711	1992	2337	2342	1086	1178	8851	5122	5827	2410	3318	674	5559	4056	1200	3249	8808	5697	194	1094	507	585	5134	2047	3974	726	311	1340
seq40	293	12	159	9	92	110	115	37	30	22	66	24	19	21	51	23	19	32	15	12	0	368	1	254	2007	1608	7	4	6	398
seq59	81	0	4	163	775	43	93	28	241	263	48	32	8	36	10	2	0	15	5	18	3	70	7	11	44	45	15	20	3	8
seq193	1	1	11	6	5	3	3	0	7	3	12	5	2	3	7	7	8	0	4	8	0	7	0	2	0	3	0	0	0	1
seq131	69	2	23	2	5	1	1	0	2	7	4	20	3	0	6	21	17	1	78	15	4	5	0	23	5	51	2	33	2	1
seq196	5	1	14	2	14	4	4	2	13	3	1	5	2	2	3	6	0	9	3	17	0	3	0	0	0	0	1	1	1	1
seq88	25	8	35	14	32	32	29	10	30	24	65	23	54	25	81	46	15	31	51	55	8	10	2	9	63	78	52	22	3	24
seq25	216	85	167	153	275	323	164	51	1564	342	2074	229	273	132	461	341	104	652	406	687	24	78	19	43	861	218	160	53	10	128
