X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
seq93	0	6	0	0	7	0	1	9	1	26	37	7	0	12	0	0	8	1	16	1	31	209	82	0	212	143	61	0	3	0
seq90	42	11	22	20	59	144	55	51	34	129	21	87	58	33	113	25	15	53	97	37	5	34	25	17	13	8	23	9	5	20
seq2	12	16	6	9	13	5	9	14	10	14	15	15	21	15	17	12	12	16	10	12	19078	14	21038	12	14	11	21447	27676	34284	9
seq4	651	526	94	471	368	715	192	471	300	1275	1410	764	564	231	169	367	112	745	0	2033	148	312	312	386	915	188	1734	114	124	282
seq145	5	5	18	1	86	26	8	4	43	27	58	9	11	16	38	8	4	23	15	91	0	3	2	3	4	7	2	1	1	2
seq26	3	9	86	15	450	6	3	29	455	4	16	40	27	13	76	90	52	9	34	19	15	133	23	16	12	16	11	7	9	10
seq171	5	10	8	2	7	5	4	4	6	5	2	2	2	7	7	5	4	1	3	3	0	5	2	3	6	14	4	1	2	5
seq117	1	19	199	25	108	7	40	2	35	36	117	61	74	46	97	2	4	36	10	44	0	3	3	2	2	4	0	1	0	2
seq10	1492	400	1131	1955	2439	1842	772	922	1235	320	2572	327	1615	1034	1628	1231	820	2639	532	1955	6	65	4	87	31	158	29	20	13	69
seq68	48	26	91	159	353	94	38	29	283	74	105	73	37	63	97	28	34	126	39	342	2	11	2	7	2	7	17	9	3	10
seq148	6	7	18	27	69	8	11	13	9	15	22	9	16	9	15	9	10	12	3	9	0	4	0	0	4	7	1	0	0	2
seq188	4	1	5	2	2	3	2	4	5	1	5	0	2	4	4	6	2	2	2	2	0	0	2	1	5	7	4	0	1	2
seq143	11	7	56	41	45	93	1	4	54	12	13	8	9	8	16	1	10	13	23	37	0	9	1	7	2	6	0	3	1	6
seq120	24	38	97	117	189	33	65	33	155	40	70	11	17	16	21	110	8	33	3	57	0	26	1	2	2	14	2	2	0	3
seq157	32	0	0	0	0	0	0	0	0	30	0	34	0	0	0	0	0	69	7	2	0	18	0	0	0	0	0	0	0	0
seq135	7	1	41	36	16	7	0	0	21	22	13	2	24	5	53	29	23	31	11	18	0	10	8	5	15	10	10	2	2	4
seq149	0	8	3	10	65	15	16	6	52	0	58	8	1	10	1	0	0	0	0	5	1	6	0	7	0	18	2	5	1	0
seq79	41	32	54	186	700	24	43	26	242	158	35	15	32	11	56	6	18	58	60	423	3	18	6	13	5	29	2	8	4	5
seq190	0	1	3	6	28	1	6	0	13	13	7	0	3	1	10	0	1	8	7	40	1	3	1	8	5	6	1	2	0	2
seq12	740	69	1419	1012	2982	717	266	112	2100	837	390	127	250	93	403	95	167	500	174	2003	5	55	32	28	519	117	85	155	49	26
seq175	7	3	6	6	3	9	1	4	4	3	8	4	2	2	5	3	2	9	4	3	3	6	2	4	6	8	3	1	0	2
seq172	2	2	7	5	31	1	7	1	11	2	4	2	32	0	4	0	2	3	0	5	0	1	0	0	0	0	0	0	0	0
seq192	6	2	7	10	31	8	2	1	7	20	15	9	8	4	2	3	5	7	1	35	0	0	0	3	0	1	2	0	1	2
seq99	1	7	6	6	2	4	4	4	12	8	7	3	3	7	9	4	6	9	11	7	4	6	1	4	22	8	8	3	2	4
