X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.final	X215.0646.final	X215.0B2B.final	X215.0B59.final	X215.340E.final	X215.406C.final	X215.471D.final	X215.591C.final	X215.6E50.final	X215.7262.final
seq133	11	1	6	1	0	2	1	1	0	7	7	7	1	1	6	5	3	4	11	2	0	6	2	7	20	4	8	0	1	2
seq42	95	68	75	14	90	127	86	19	99	127	96	111	18	11	63	82	22	47	116	38	29	82	34	117	196	27	104	31	35	86
seq30	73	47	206	137	238	160	84	84	109	81	112	87	67	82	349	141	99	190	96	67	25	144	10	38	44	50	23	28	22	69
seq137	8	6	7	4	15	8	8	3	6	8	5	8	8	4	36	19	24	6	41	24	1	40	3	5	12	11	4	2	5	10
seq14	13	19	459	13	100	57	31	6	56	23	3958	12	1837	199	7842	10	153	6202	18	494	1	52	5	10	33	15	1	6	4	13
seq15	610	89	123	215	1469	236	97	77	1230	1017	520	539	469	73	1005	148	68	994	866	1558	100	265	194	172	94	58	61	30	42	14
seq83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	64	9	121	22	16	7	3	9	23
seq22	202	340	156	241	288	810	472	302	889	458	27	299	29	48	121	7	272	209	1524	934	4	158	112	386	66	23	91	8	25	69
seq132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	4	0	34	0
seq33	0	78	171	46	251	164	30	53	171	291	365	86	518	103	239	924	39	185	187	389	0	81	84	466	20	4	72	31	12	179
seq138	12	4	3	2	124	2	1	1	2	14	16	25	11	16	23	3	0	24	9	25	3	70	6	13	37	12	2	18	1	3
seq56	86	34	70	49	421	419	134	35	267	170	269	123	33	46	609	42	31	172	399	236	5	8	14	32	66	10	13	1	0	9
seq283	0	0	12	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
seq106	36	7	49	10	97	58	31	32	30	20	73	25	19	26	48	25	19	30	14	13	6	10	9	22	14	16	7	3	5	17
seq178	13	2	8	17	30	14	5	5	7	11	11	5	7	3	6	7	1	9	3	19	0	4	0	2	0	1	0	2	0	1
seq194	1	1	1	10	7	3	0	1	0	1	13	13	10	6	7	0	4	12	8	2	0	2	0	0	0	0	2	0	0	4
seq35	66	61	168	97	81	89	45	53	70	82	91	129	120	102	70	160	117	59	110	49	39	341	17	95	38	37	52	35	9	127
seq89	18	5	222	33	280	69	25	54	98	39	78	24	107	10	182	14	37	28	0	5	2	11	1	6	2	5	1	3	7	10
seq37	24	40	363	183	516	194	12	34	429	108	162	73	100	92	158	51	96	144	80	539	13	58	10	49	10	16	6	23	12	45
seq158	3	0	1	186	13	30	2	13	0	1	58	0	49	24	35	0	45	45	11	3	0	1	0	0	1	8	0	1	1	0
seq61	28	21	9	70	111	1	58	2	40	137	545	140	93	38	114	29	16	88	394	164	2	0	18	0	21	35	0	6	0	0
seq155	2	1	30	0	5	1	3	5	8	3	26	14	8	2	2	7	2	12	1	3	0	1	0	2	0	0	1	0	0	0
seq154	0	0	0	0	3	0	0	0	20	1	0	0	0	1	0	0	11	0	0	0	0	5	15	0	0	0	0	0	0	0
seq66	53	35	57	9	140	53	57	9	218	127	66	99	41	32	75	41	3	94	64	424	3	21	2	27	21	9	6	2	5	3
seq159	51	0	0	44	21	6	39	2	83	6	259	0	0	0	3	0	5	1	0	0	0	1	1	0	3	0	0	0	0	1
seq21	5	0	214	3	518	295	13	153	0	1	11	242	16	388	355	214	3	115	539	125	29	108	50	187	136	35	95	14	30	38
seq36	0	131	0	56	63	0	0	0	0	214	40	314	89	7	438	110	0	216	1549	31	0	134	0	0	0	36	1	28	16	0
seq49	13	34	34	17	82	15	9	5	95	120	313	62	33	14	134	14	12	116	113	121	7	1	11	26	23	11	16	4	9	6
seq32	718	2	275	3	0	1007	290	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	0	0	43	7
seq47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	118	49	83	60	17	29	33	38	22
seq264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	20	0	0	0	0	0	0	0
seq96	6	3	0	2	0	1	4	1	4	15	7	11	1	0	7	15	0	2	9	31	1	9	1	5	4	2	0	4	0	1
seq109	3	5	0	5	1	3	3	5	9	25	0	0	0	0	0	0	0	0	0	0	3	30	2	5	32	11	4	1	5	10
seq76	20	19	24	20	26	25	22	11	14	20	25	47	11	33	6	57	11	19	31	12	10	57	7	14	39	14	23	15	22	5
seq29	58	104	94	176	140	118	43	133	311	220	184	57	151	58	112	91	18	126	59	452	53	42	53	375	56	58	136	17	50	23
seq77	40	14	26	15	32	26	18	8	15	39	19	20	20	13	29	39	6	10	35	26	13	43	11	66	23	32	18	21	19	83
seq142	16	10	15	5	6	6	5	9	9	3	23	6	0	5	4	0	4	1	20	61	0	0	0	3	5	3	3	0	2	0
seq173	0	0	0	0	0	0	0	0	0	0	2	3	2	0	5	2	2	0	0	2	1	7	4	5	2	1	0	0	3	0
