	Cage	SamID	Time	Treatment	TT	TTC	Compare	Compare1
X216.6807.t.1	216	6807	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.6807.t.2	216	6807	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.737F.final	216	737F	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.737F.pre	216	737F	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.737F.t.1	216	737F	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.737F.t.2	216	737F	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.7C29.final	216	7C29	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.7C29.pre	216	7C29	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.7C29.t.1	216	7C29	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.7C29.t.2	216	7C29	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X216.7D1C.final	216	7D1C	final	LAR	LAR_final	LAR_final_216	final LAR	final
X216.7D1C.pre	216	7D1C	pre	LAR	LAR_pre	LAR_pre_216	t.0 - Pre Launch LAR	t.0 - Pre Launch
X216.7D1C.t.1	216	7D1C	t.1	LAR	LAR_t.1	LAR_t.1_216	t.1 - 4 Weeks LAR	t.1 - 4 Weeks
X216.7D1C.t.2	216	7D1C	t.2	LAR	LAR_t.2	LAR_t.2_216	t.2 - 8 Weeks LAR	t.2 - 8 Weeks
X217.1568.final	217	1568	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.1F0C.final	217	1F0C	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.277A.final	217	277A	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.4C21.final	217	4C21	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.5222.final	217	5222	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.5C41.final	217	5C41	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.5E1B.final	217	5E1B	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.6216.final	217	6216	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.6951.final	217	6951	final	ISS	ISS_final	ISS_final_217	ISS	ISS
X217.7D73.final	217	7D73	final	ISS	ISS_final	ISS_final_217	ISS	ISS
