X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X214.0446.final	X214.3644.final	X214.532E.final	X214.5D46.final	X214.665B.final	X214.6951.final	X214.7250.final	X214.7715.final	X214.7A4F.final	X214.7B6C.final
seq85	72	59	64	48	29	92	69	44	64	108	0	0	0	0	0	0	0	0	0	0	33	5	8	0	0	123	0	68	1	0
seq100	22	4	42	32	84	83	24	13	31	29	52	12	36	17	8	3	4	79	7	171	43	13	41	36	123	18	7	14	24	5
seq105	0	0	14	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	1	0	0
seq150	8	3	0	17	15	0	0	0	22	22	0	18	4	4	3	3	7	3	25	9	17	36	1	3	3	1	15	2	46	5
seq54	18	0	53	0	0	6	8	4	0	0	0	55	16	1	28	38	17	0	77	22	70	110	89	66	59	27	112	36	65	44
seq168	5	1	4	1	7	1	4	0	3	5	6	2	0	1	3	2	2	5	2	2	8	5	8	2	12	1	10	3	1	0
seq60	74	84	46	4	55	30	54	52	4	65	9	15	0	1	5	11	6	4	15	17	117	263	321	61	301	192	672	132	264	340
seq144	33	8	50	31	46	71	19	20	29	30	75	29	27	14	64	9	24	23	40	53	19	70	33	20	19	45	14	39	14	39
seq28	9	242	738	675	116	475	45	404	434	743	36	48	251	349	75	3	167	120	120	543	71	1517	79	32	303	68	20	18	26	116
seq160	30	8	0	24	18	0	21	28	0	39	15	0	3	9	0	55	1	39	14	9	4	5	16	5	13	22	1	1	6	0
seq23	0	3	64	1	0	1	307	0	72	225	250	0	2	507	0	22	0	331	1	0	0	3	0	0	417	359	79	294	341	0
seq93	1	7	0	0	9	0	0	10	1	27	33	8	0	12	0	0	6	0	16	1	3	166	22	2	19	38	0	0	14	0
seq90	41	10	21	23	48	141	50	58	33	131	23	86	58	34	116	26	15	56	101	43	16	42	23	15	80	26	14	15	13	23
seq2	13	16	7	9	14	6	10	14	10	14	17	17	21	15	16	13	12	9	14	10	17	11	11	7	23	14	11	11	14	26
seq4	650	527	95	493	337	702	182	470	314	1260	1394	764	562	233	166	365	121	746	1	2066	1224	1043	3636	679	1150	1584	1932	937	487	1056
seq145	5	4	18	1	85	26	7	3	36	28	57	7	11	15	35	8	3	23	13	84	2	29	9	22	55	34	11	9	12	10
seq26	4	9	86	14	437	7	2	27	464	5	19	41	27	14	74	91	54	9	38	15	49	109	15	312	112	6	20	13	19	9
seq171	4	11	8	0	3	4	4	3	6	4	4	2	2	7	6	4	2	2	2	3	2	3	5	4	5	4	3	5	8	2
seq117	1	18	197	30	109	7	40	2	38	31	113	64	75	47	94	3	7	29	11	53	11	0	9	4	25	30	1	4	5	3
seq10	1493	400	1131	1937	2439	1794	833	913	1173	326	2548	324	1617	1030	1648	1233	819	2636	508	1967	97	383	279	2085	1357	2082	53	1759	74	424
seq68	48	26	89	164	335	92	32	25	293	67	108	73	37	62	96	27	25	131	37	358	38	77	85	227	177	109	9	97	46	51
seq148	6	6	19	29	64	8	13	16	8	16	22	8	16	10	12	10	6	12	3	7	12	20	6	12	52	18	4	6	10	6
seq188	3	3	5	2	2	4	3	3	5	1	6	1	2	3	4	6	2	2	1	2	3	5	7	0	4	7	8	3	4	4
seq143	12	7	56	41	39	101	0	7	54	14	14	9	9	8	12	0	5	10	26	35	40	46	42	38	32	13	14	10	11	7
seq120	24	38	98	117	206	32	65	36	154	43	66	8	17	17	24	111	9	32	3	45	2	12	15	23	28	22	7	17	13	7
seq157	31	0	0	0	0	0	0	0	0	30	0	34	0	0	0	0	0	67	5	1	0	0	0	114	0	0	0	0	0	0
seq135	8	1	41	34	21	5	0	0	25	21	11	4	24	5	54	30	28	27	10	21	6	18	15	86	22	3	5	2	15	8
seq149	0	8	2	9	56	14	13	5	46	0	55	10	1	10	2	0	0	0	0	5	0	19	13	0	60	14	0	12	5	0
seq79	41	31	54	186	678	24	44	27	285	159	37	11	32	11	53	6	16	60	62	436	34	95	27	14	30	34	11	47	47	25
seq190	0	2	3	6	35	1	5	1	14	11	7	1	3	0	11	0	0	8	6	39	1	4	1	0	0	1	1	1	3	0
seq12	739	69	1418	998	3051	697	252	113	2091	840	403	128	250	93	402	95	157	469	171	1967	874	4212	620	482	507	1247	191	635	1212	1140
seq175	7	3	6	5	2	7	1	5	8	3	8	4	2	2	4	2	4	9	3	3	7	13	4	3	3	2	6	6	3	4
seq172	2	2	7	5	28	2	2	1	13	1	4	5	32	0	5	0	7	4	1	3	2	34	2	28	20	2	1	10	1	4
seq192	7	2	7	10	29	9	2	0	7	19	14	5	8	5	2	3	6	7	2	42	2	19	1	1	2	2	0	0	1	1
seq99	1	6	7	6	1	1	6	2	9	10	7	3	3	6	10	4	4	11	13	4	10	8	6	2	5	7	3	6	7	10
seq274	5	1	2	1	1	10	1	4	1	4	17	0	1	0	6	4	1	1	1	18	0	0	0	0	0	0	0	0	0	0
seq235	4	2	4	10	18	0	1	1	0	6	4	1	2	1	8	1	1	3	3	9	0	1	1	0	3	2	0	0	1	1
seq1	43889	43182	39534	45174	23927	29124	42239	47635	24341	31118	20268	42911	43183	45128	27460	43475	48755	32961	27263	16076	43075	27435	30911	44449	29612	29697	38970	35188	43483	41298
seq213	4	5	5	2	6	7	1	3	7	3	5	4	7	3	7	4	2	7	1	3	5	2	1	3	6	1	2	2	3	4
seq202	2	2	5	2	0	2	1	0	1	1	5	3	4	2	4	1	3	1	3	1	2	4	2	2	5	4	4	2	4	2
seq189	1	3	4	5	1	2	5	3	2	2	4	5	3	3	0	1	3	3	2	2	3	2	3	1	0	0	5	1	3	3
seq197	2	3	2	3	2	9	2	5	1	1	3	2	2	4	1	2	1	0	2	0	4	1	2	5	1	1	3	2	6	3
seq169	2	3	5	4	6	0	3	5	6	7	4	5	8	10	3	5	3	5	5	3	8	6	3	5	5	6	4	5	7	7
seq115	9	7	27	36	68	44	12	9	27	13	53	13	10	15	28	19	11	48	34	32	28	100	66	34	68	27	44	8	39	29
seq50	36	44	139	48	283	129	47	141	218	258	130	66	73	82	40	41	37	121	37	235	30	236	120	73	379	76	60	68	174	148
seq65	30	42	34	14	17	7	6	14	26	13	49	11	11	15	6	15	7	15	60	88	155	25	86	12	22	14	50	11	35	54
seq75	0	0	0	24	1	0	0	0	43	127	0	4	6	1	2	0	7	5	15	92	83	9	22	4	4	29	7	4	17	2
seq183	1	1	0	1	6	8	3	1	2	3	0	3	8	6	9	11	5	0	12	10	0	11	0	5	8	2	2	0	5	1
seq111	5	8	17	6	51	47	9	3	45	16	10	11	8	8	38	41	23	16	48	32	17	54	42	16	39	11	39	14	16	16
seq208	3	4	17	6	25	29	9	2	16	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq5	321	470	361	213	517	643	187	115	3789	251	1084	1394	272	378	2262	869	489	33	4258	2081	2043	1737	1192	92	938	597	1230	494	314	745
seq31	1	732	0	173	915	0	0	337	0	485	0	0	0	0	1	0	0	1034	0	0	0	1	0	0	0	0	0	0	1	1
seq81	78	14	55	25	99	91	16	18	56	45	25	33	12	24	35	42	30	17	100	109	29	46	8	43	6	9	45	21	56	13
seq127	6	11	9	4	20	29	3	10	6	10	30	3	11	2	20	15	8	14	1	5	2	12	6	16	16	15	4	3	5	4
seq40	254	0	106	0	0	47	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
seq59	72	0	4	160	809	48	86	29	237	272	47	33	5	37	13	3	0	13	3	13	50	120	72	54	173	84	30	52	142	85
seq193	0	0	3	4	3	3	2	0	4	3	6	1	0	0	5	4	7	0	1	5	0	15	10	5	27	11	2	5	9	8
seq219	0	3	7	0	1	2	2	0	4	0	4	2	1	3	2	4	3	0	2	5	0	10	4	3	7	7	1	3	5	2
seq131	76	0	20	0	0	0	0	0	0	0	3	21	0	0	6	23	16	0	73	10	0	64	1	0	0	0	28	0	0	47
seq196	3	0	9	2	16	4	6	2	6	3	1	4	0	1	2	4	2	7	3	19	7	11	1	0	9	13	1	9	4	0
seq88	25	8	35	15	31	32	33	10	28	24	56	30	71	22	76	49	17	32	49	53	46	84	49	14	38	33	80	26	20	35
seq25	129	39	27	82	56	92	8	10	1343	206	1737	109	20	10	47	217	28	438	246	493	85	203	45	60	16	93	14	65	1	31
seq55	86	52	145	78	226	224	157	40	192	135	336	132	235	131	415	127	81	221	185	187	125	198	133	29	270	277	174	66	92	95
seq140	3	2	5	4	17	6	3	1	23	9	31	3	26	3	20	33	7	21	42	14	52	14	59	128	68	34	16	15	4	60
